,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365
46562,40.87066,-73.88227,56,2,0,0,1,53
46579,40.86493,-73.90315,69,2,2,2,1,86
46654,40.86093,-73.85185,75,2,2,2,1,160
46696,40.8703,-73.89313,168,3,0,0,10,337
46726,40.86066,-73.89883,149,1,0,0,1,363
46778,40.9026,-73.84806,288,2,0,0,1,346
46805,40.86963,-73.89465,79,3,0,0,10,69
46809,40.87085,-73.89318,58,3,0,0,10,75
46813,40.86947,-73.89389,55,3,0,0,10,86
46814,40.87066,-73.89317,55,3,0,0,10,89
46859,40.8455,-73.86217,35,3,1,1,1,342
46868,40.88452,-73.91065,99,3,2,2,1,52
46901,40.87256,-73.89978,95,1,4,4,1,84
46914,40.82794,-73.90412,45,2,1,1,1,364
46941,40.88125,-73.84922,85,1,6,6,1,362
46944,40.88531,-73.90008,100,3,0,0,1,88
46987,40.84308,-73.90652,67,3,0,0,2,113
47016,40.856,-73.86705,57,1,4,4,1,340
47033,40.8315,-73.92277,60,3,1,1,1,20
47065,40.84631,-73.91641,150,1,3,3,1,65
47091,40.82231,-73.91696,69,7,0,0,1,254
47099,40.87277,-73.90268,95,2,0,0,1,47
47114,40.86429,-73.90204,60,1,0,0,1,83
47120,40.80807,-73.92811,140,4,0,0,1,103
47166,40.81879,-73.88646,35,2,1,1,2,59
47171,40.82759,-73.92081,65,1,2,2,1,364
47237,40.82754,-73.82124,65,1,1,1,1,365
47249,40.84346,-73.90554,55,3,0,0,2,140
47278,40.83351,-73.93033,65,2,0,0,1,296
47293,40.86269,-73.89073,39,3,0,0,8,170
47410,40.83163,-73.93077,80,1,1,1,1,2
47442,40.88587,-73.89865,80,4,0,0,1,87
47552,40.87852,-73.85003,36,2,2,2,3,47
47565,40.87877,-73.85044,55,2,0,0,3,35
47655,40.80855,-73.92948,220,30,0,0,1,180
47661,40.89198,-73.84779,309,2,0,0,1,168
47679,40.80146,-73.91673,125,3,0,0,2,365
47716,40.86249,-73.89234,39,3,1,1,8,180
47717,40.86427,-73.89215,39,2,1,1,8,175
47719,40.86294,-73.89242,99,2,0,0,8,343
47735,40.82964,-73.91833,53,3,0,0,1,162
47744,40.80087,-73.91635,100,3,0,0,2,365
47753,40.82519,-73.90101,150,1,0,0,1,88
47790,40.91234,-73.89417,40,1,1,1,3,179
47838,40.86143,-73.84556,79,2,2,2,2,169
47914,40.82101,-73.90919,75,3,0,0,1,0
47937,40.86886,-73.84915,140,2,1,1,1,175
47955,40.83671,-73.84677,75,1,0,0,1,363
48014,40.82093,-73.91279,125,2,0,0,1,207
48029,40.91306,-73.89389,40,1,1,1,3,175
48033,40.91167,-73.89566,40,1,1,1,3,174
48068,40.85247,-73.86418,60,4,2,2,1,194
48075,40.86143,-73.84573,79,2,1,1,2,354
48102,40.84218,-73.90969,390,2,0,0,2,348
48111,40.84037,-73.8998,122,1,0,0,2,166
48146,40.8349,-73.85259,40,3,1,1,1,68
48154,40.90527,-73.89707,150,30,0,0,1,89
48171,40.85234,-73.82969,55,7,0,0,1,179
48229,40.87997,-73.90135,100,1,0,0,1,115
48282,40.84443,-73.78497,1000,1,0,0,4,90
48310,40.84295,-73.78433,600,1,0,0,4,44
48312,40.88116,-73.86547,25,90,0,0,1,190
48340,40.81629,-73.90945,85,1,1,1,1,14
48379,40.80626,-73.92815,117,4,0,0,1,290
48414,40.86355,-73.89234,39,2,0,0,8,58
48415,40.86265,-73.89263,178,2,0,0,8,89
48416,40.86264,-73.89139,29,2,0,0,8,81
48417,40.86263,-73.89088,33,2,0,0,8,84
48496,40.80655,-73.85093,379,3,0,0,1,167
48627,40.81576,-73.84653,98,3,0,0,7,169
48628,40.81733,-73.84807,128,2,0,0,7,167
48629,40.8154,-73.84657,38,3,0,0,7,177
48630,40.81727,-73.84588,38,2,0,0,7,177
48631,40.81572,-73.84592,39,2,0,0,7,177
48632,40.81539,-73.84669,39,2,0,0,7,177
48633,40.81709,-73.84811,39,2,0,0,7,177
48674,40.84735,-73.83095,50,1,0,0,1,88
48783,40.83926,-73.91173,140,1,0,0,1,90
48792,40.83146,-73.89666,80,7,0,0,1,71
48795,40.83502,-73.91058,125,2,0,0,1,364
48796,40.83372,-73.91187,70,2,0,0,2,81
48805,40.80787,-73.924,100,1,2,2,1,40
